Наименование товара;Цена розничная;Минимальная партия, шт;Количество в упаковке;Изображение;Производитель
Армянский коньяк «Арташат» 6 лет, 40%, 0.5 л, Армения;16.99;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/2157/01262157/norm/thumbs/01262157.n_1_1000x1000.png.jpg?1684765809;Бренди, коньяк
Коньяк«AZNAURI»(5лет,40%)0.5;17.75;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/8839/01188839/norm/thumbs/01188839.n_1_1000x1000.png.jpg?1684765809;Винокурная нарочь,РБ
Дивин «Старый Тильзит» 6 лет, 40%, 0.5 л, Молдова;18.22;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/8176/01248176/norm/thumbs/01248176.n_1_1000x1000.png.jpg?1684765809;Бренди, коньяк
Коньяк «Ереванский путь» 6 лет, 40%, 0.5 л, Армения;19.79;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/1958/01261958/norm/thumbs/01261958.n_1_1000x1000.png.jpg?1684765809;230 ккал/ 930 кДж
Коньяк «Tbilisi Marani» 6 лет, 40%, 0.5 л, Грузия;20.45;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6410/01246410/norm/thumbs/01246410.n_1_1000x1000.png.jpg?1684765809;Бренди, коньяк
Виски «Highland Chief» 40%, 0.5 л, Шотландия;20.99;2;24;https://img.unistore.by/UserFiles/images/catalog/Goods/5851/01045851/norm/thumbs/01045851.n_1_1000x1000.png.jpg?1684765809;221 ккал/ 925 кДж
Коньяк «Старая страна» 10 лет, 40%, 0.5 л, Армения;23.8;2;6;https://img.unistore.by/UserFiles/images/catalog/Goods/6071/01286071/norm/thumbs/01286071.n_1_1000x1000.png.jpg?1684765809;239.6 ккал/ 1002.5 кДж
Дивин «Vielle Village» 6 лет, 40%, 1 л, Молдова;27.43;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/3143/01293143/norm/thumbs/01293143.n_1_1000x1000.png.jpg?1684765809;240 ккал/ 1020 кДж
Виски «Glenshiel» 40%, 0.7 л, Великобритания;27.49;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/8900/01348900/norm/thumbs/01348900.n_1_1000x1000.png.jpg?1684765809;Виски
Виски «Грейт Мак» шотландский купажированный, 40%, 1 л, Великобритания;43.58;2;12;https://img.unistore.by/UserFiles/images/catalog/Goods/8963/01298963/norm/thumbs/01298963.n_1_1000x1000.png.jpg?1684765809;Виски
